oferta_id,tienda,categoria,producto,precio,stock,fecha
Falabellox-1,Falabellox,Infantil,Infantil XL,25196,68,2025-10-20 21:22:45
Falabellox-2,Falabellox,Computación,Computación Max,205811,18,2025-10-20 21:22:47
Falabellox-3,Falabellox,Electrodomésticos,Electrodomésticos Max,576746,64,2025-10-20 21:22:48
Falabellox-4,Falabellox,Computación,Computación Kit,378078,40,2025-10-20 21:22:50
Falabellox-5,Falabellox,Infantil,Infantil Kit,29000,8,2025-10-20 21:22:53
Falabellox-6,Falabellox,Deportes,Deportes Max,357471,58,2025-10-20 21:22:54
Falabellox-7,Falabellox,Electrodomésticos,Electrodomésticos Kit,251408,42,2025-10-20 21:22:55
Falabellox-8,Falabellox,Infantil,Infantil Pack,47626,96,2025-10-20 21:22:57
Falabellox-9,Falabellox,Electrodomésticos,Electrodomésticos Pack,488823,108,2025-10-20 21:23:00
Falabellox-10,Falabellox,Electrónica,Electrónica Kit,642412,102,2025-10-20 21:23:03
Falabellox-11,Falabellox,Hogar,Hogar Mini,150134,104,2025-10-20 21:23:05
Falabellox-12,Falabellox,Infantil,Infantil Kit,46400,11,2025-10-20 21:23:06
Falabellox-13,Falabellox,Computación,Computación Ultra,243816,166,2025-10-20 21:23:09
Falabellox-14,Falabellox,Electrodomésticos,Electrodomésticos Kit,263979,41,2025-10-20 21:23:11
Falabellox-15,Falabellox,Deportes,Deportes Ultra,36127,100,2025-10-20 21:23:14
Falabellox-16,Falabellox,Mascotas,Mascotas Max,180149,28,2025-10-20 21:23:17
Falabellox-17,Falabellox,Computación,Computación Pro,51237,83,2025-10-20 21:23:20
Falabellox-18,Falabellox,Mascotas,Mascotas Smart,117513,54,2025-10-20 21:23:22
Falabellox-19,Falabellox,Automotriz,Automotriz Mini,80308,60,2025-10-20 21:23:23
Falabellox-20,Falabellox,Juguetes,Juguetes Mini,166378,114,2025-10-20 21:23:25
Falabellox-21,Falabellox,Infantil,Infantil Pack,43750,86,2025-10-20 21:23:28
Falabellox-22,Falabellox,Deportes,Deportes XL,281166,132,2025-10-20 21:23:30
Falabellox-23,Falabellox,Deportes,Deportes Ultra,44075,88,2025-10-20 21:23:31
Falabellox-24,Falabellox,Mascotas,Mascotas Pack,28069,163,2025-10-20 21:23:32
Falabellox-25,Falabellox,Deportes,Deportes Ultra,39740,71,2025-10-20 21:23:35
