oferta_id,tienda,categoria,producto,precio,stock,fecha
Falabellox-1,Falabellox,Infantil,Infantil XL,25196,68,2025-10-20 21:22:45
Parisio-2,Parisio,Infantil,Infantil Max,84172,110,2025-10-20 21:22:45
Falabellox-5,Falabellox,Infantil,Infantil Kit,29000,8,2025-10-20 21:22:53
Falabellox-8,Falabellox,Infantil,Infantil Pack,47626,96,2025-10-20 21:22:57
Riploy-10,Riploy,Infantil,Infantil Eco,30060,66,2025-10-20 21:23:00
Falabellox-12,Falabellox,Infantil,Infantil Kit,46400,11,2025-10-20 21:23:06
Riploy-14,Riploy,Infantil,Infantil Max,169101,35,2025-10-20 21:23:07
Riploy-20,Riploy,Infantil,Infantil Kit,8998,112,2025-10-20 21:23:18
Riploy-23,Riploy,Infantil,Infantil Eco,12847,95,2025-10-20 21:23:25
Falabellox-21,Falabellox,Infantil,Infantil Pack,43750,86,2025-10-20 21:23:28
